bee_id,group,trial,choice,block
7,LR,14,1,20
7,LR,15,0,20
7,LR,16,1,20
7,LR,17,0,20
7,LR,18,0,20
7,LR,19,1,20
7,LR,20,1,20
7,LR,21,0,30
7,LR,22,0,30
7,LR,23,1,30
7,LR,24,1,30
7,LR,25,1,30
7,LR,26,1,30
7,LR,27,1,30
7,LR,28,1,30
7,LR,29,0,30
7,LR,30,0,30
7,LR,31,1,40
7,LR,32,1,40
7,LR,33,1,40
7,LR,34,0,40
7,LR,35,1,40
7,LR,36,1,40
7,LR,37,1,40
7,LR,38,0,40
7,LR,39,1,40
7,LR,40,1,40
8,RL,1,0,10
8,RL,2,1,10
8,RL,3,0,10
8,RL,4,1,10
8,RL,5,1,10
8,RL,6,1,10
8,RL,7,0,10
8,RL,8,0,10
8,RL,9,1,10
8,RL,10,0,10
8,RL,11,0,20
8,RL,12,1,20
8,RL,13,0,20
8,RL,14,0,20
8,RL,15,1,20
8,RL,16,1,20
8,RL,17,1,20
8,RL,18,0,20
8,RL,19,1,20
8,RL,20,0,20
8,RL,21,0,30
8,RL,22,0,30
8,RL,23,0,30
8,RL,24,1,30
8,RL,25,1,30
8,RL,26,1,30
8,RL,27,1,30
8,RL,28,0,30
8,RL,29,0,30
8,RL,30,1,30
8,RL,31,1,40
8,RL,32,1,40
8,RL,33,0,40
8,RL,34,1,40
8,RL,35,1,40
8,RL,36,1,40
8,RL,37,1,40
8,RL,38,1,40
8,RL,39,1,40
8,RL,40,1,40
9,LR,1,1,10
9,LR,2,1,10
9,LR,3,0,10
9,LR,4,0,10
9,LR,5,1,10
9,LR,6,0,10
9,LR,7,1,10
9,LR,8,0,10
9,LR,9,0,10
9,LR,10,0,10
9,LR,11,0,20
9,LR,12,1,20
9,LR,13,0,20
9,LR,14,1,20
9,LR,15,1,20
9,LR,16,0,20
9,LR,17,1,20
9,LR,18,0,20
9,LR,19,1,20
9,LR,20,0,20
9,LR,21,0,30
9,LR,22,1,30
9,LR,23,1,30
9,LR,24,1,30
9,LR,25,1,30
9,LR,26,0,30
9,LR,27,1,30
9,LR,28,1,30
9,LR,29,1,30
9,LR,30,1,30
9,LR,31,1,40
9,LR,32,1,40
9,LR,33,0,40
9,LR,34,1,40
9,LR,35,0,40
9,LR,36,1,40
9,LR,37,1,40
9,LR,38,1,40
9,LR,39,0,40
9,LR,40,1,40
10,RL,1,0,10
10,RL,2,0,10
10,RL,3,0,10
10,RL,4,1,10
10,RL,5,1,10
10,RL,6,1,10
